date,trade_volume,trade_value,opening_price,highest_price,lowest_price,closing_price,change,transaction
2014/12/17,7096758,3127128520,438.00,443.00,438.00,440.00,+2.00,4166
2014/12/18,5569196,2476850524,444.50,446.00,442.00,445.50,+5.50,3932
2014/12/19,7688418,3491360108,450.00,457.50,448.50,457.00,+11.50,4840
2014/12/22,3857673,1753361215,460.00,460.00,450.50,455.00,-2.00,2459
2014/12/23,2619502,1195086653,460.00,460.00,453.00,458.00,+3.00,1820
2014/12/24,3697135,1716898640,460.00,468.00,460.00,464.50,+6.50,2806
2014/12/25,1217133,562737813,465.00,465.50,460.50,461.50,-3.00,985
2014/12/26,1163446,538236706,462.00,465.00,461.00,464.00,+2.50,796
2014/12/27,544425,252754775,465.00,465.50,463.00,464.50,+0.50,444
2014/12/29,2897956,1354533452,466.00,469.00,463.00,467.50,+3.00,2240
2014/12/30,2331214,1084801368,467.50,470.50,462.00,462.00,-5.50,1888
2014/12/31,1688533,779853474,463.00,464.00,460.00,462.00, 0.00,1071
2015/01/05,2482122,1148998364,460.00,467.00,460.00,462.00, 0.00,1843
2015/01/06,5925384,2722412051,460.00,462.00,458.00,458.00,-4.00,3450
2015/01/07,13142501,6288634235,468.00,487.00,466.50,486.50,+28.50,9067
2015/01/08,8682746,4241592290,492.50,494.50,484.50,485.00,-1.50,5583
2015/01/09,7745506,3804656406,492.00,495.00,488.00,488.00,+3.00,4743
2015/01/12,4586084,2248742992,490.00,494.50,486.50,488.00, 0.00,2998
2015/01/13,4420741,2141794473,485.00,488.00,481.00,483.00,-5.00,3217
2015/01/14,7120478,3473021724,488.50,492.00,484.50,488.00,+5.00,4057
2015/01/15,4228258,2053120994,488.00,490.00,483.50,486.00,-2.00,2319
2015/01/16,5550863,2652005308,483.50,485.50,474.50,475.50,-10.50,3944
2015/01/19,5055826,2456801062,482.50,489.00,479.50,487.00,+11.50,3520
2015/01/20,3824481,1867577453,488.00,490.00,484.00,490.00,+3.00,2539
2015/01/21,5342258,2635739694,493.00,495.00,492.50,493.50,+3.50,3102
2015/01/22,5462463,2705009486,496.00,498.00,491.50,495.50,+2.00,3400
2015/01/23,5250084,2596188496,498.50,500.00,491.50,494.50,-1.00,3028
2015/01/26,6909377,3461931877,494.00,505.00,494.00,504.00,+9.50,4797
2015/01/27,5026980,2517602500,504.00,504.00,498.50,502.00,-2.00,2891
2015/01/28,2763604,1387231000,502.00,504.00,498.50,502.00, 0.00,1771
2015/01/29,3143985,1559370553,497.00,499.50,493.00,497.50,-4.50,2209
2015/01/30,7517372,3670327370,497.50,498.00,483.00,483.00,-14.50,4398
2015/02/02,3747978,1812528870,489.00,489.00,480.00,482.50,-0.50,2827
2015/02/03,3275285,1589474225,482.50,489.00,480.50,485.00,+2.50,2641
2015/02/04,4598474,2245680890,492.00,493.50,484.00,485.00, 0.00,3443
2015/02/05,4330271,2108542935,488.50,491.50,483.50,485.00, 0.00,3219
2015/02/06,4600149,2213321958,487.00,488.50,476.00,479.00,-6.00,3411
2015/02/09,5251708,2555740026,485.50,490.00,480.50,488.00,+9.00,3531
2015/02/10,10301298,4676789292,454.00,454.00,454.00,454.00,-34.00,2420
2015/02/11,33943714,15109594370,435.00,455.00,434.00,454.00, 0.00,15565
2015/02/12,8420451,3842998460,456.00,458.50,453.50,458.00,+4.00,5462
2015/02/13,6058826,2775112904,458.00,460.00,456.00,459.00,+1.00,3829
2015/02/24,16722243,7849068784,468.00,473.00,462.00,470.00,+11.00,6952
