date,trade_volume,trade_value,opening_price,highest_price,lowest_price,closing_price,change,transaction
2016/9/10,23404331,1811772316,76.8,78.3,76.7,78,0.3,12853
2016/9/12,31237702,2426634856,78,78.2,77.5,77.5,-0.5,14641
2016/9/13,37723869,2925547673,78.3,78.5,76.8,77.2,-0.3,16394
2016/9/14,43959603,3411367947,77.2,78.2,77.2,77.4,0.2,14616
2016/9/19,76667029,6125553679,79.9,80.5,79.2,80.4,3,31744
2016/9/20,41417392,3325929443,80.5,80.7,80,80.2,-0.2,18417
2016/9/21,29174757,2326573473,79.9,80.1,79.3,80,-0.2,15644
2016/9/22,31624566,2527103680,80.3,80.8,79.3,79.6,-0.4,16863
2016/9/23,30788582,2454548205,79.9,80,79.4,79.8,0.2,12143
2016/9/26,32605029,2574486308,79.1,79.4,78.6,78.9,-0.9,13903
2016/9/29,49890235,3980268990,79.8,80,79.3,79.8,0.9,16087
2016/9/30,33180637,2625777041,79.2,79.5,79,79,-0.8,12634
2016/10/3,23921302,1900379841,79.8,79.8,79.2,79.2,0.2,9019
2016/10/4,19839984,1570944601,79,79.5,78.9,79.5,0.3,8624
2016/10/5,14224693,1131510290,79.1,79.8,79.1,79.6,0.1,6729
2016/10/6,24815554,1988141329,80.2,80.3,80,80.2,0.6,12328
2016/10/7,15318995,1228163082,80.5,80.5,80,80,-0.2,7541
2016/10/11,51744756,4199103543,81,81.9,80.5,81.1,1.1,22212
2016/10/12,38592633,3142515068,81.5,81.7,80.9,81.6,0.5,17857
2016/10/13,34881026,2857168832,82.1,82.4,81.6,81.8,0.2,16735
2016/10/14,22420059,1820447522,81.6,81.7,80.7,81.2,-0.6,10756
2016/10/17,29655889,2410790322,80.8,82,80.4,81.9,0.7,12836
2016/10/18,32868087,2694088835,81.9,82.2,81.6,82.1,0.2,13865
2016/10/19,38455388,3168757404,82.2,82.5,82.2,82.4,0.3,17142
2016/10/20,40042546,3332081435,82.8,83.5,82.7,83.5,1.1,19648
2016/10/21,65473533,5528330463,84,85,83.9,84.3,0.8,21452
2016/10/24,31339246,2648240473,84.9,85,84.1,84.2,-0.1,12936
2016/10/25,49322603,4202923535,84.6,85.9,84.5,85.7,1.5,22538
2016/10/26,36417398,3116188534,85.2,85.9,85,85.6,-0.1,15532
2016/10/27,36899987,3157529739,85.9,86.4,85,85.4,-0.2,14334
2016/10/28,30165885,2559426125,85.9,85.9,84.6,84.8,-0.6,11413
2016/10/31,31249715,2638377555,84.7,85.3,83.6,85.3,0.5,13187
2016/11/1,23258245,1974411594,85.3,85.4,84.4,84.6,-0.7,10155
2016/11/2,51613717,4303489411,84,84.4,82.6,82.6,-2,22829
2016/11/3,43612683,3578842816,82.1,83,81.6,81.7,-0.9,19671
2016/11/4,25604798,2099932861,81.6,82.5,81.6,82,0.3,12048
2016/11/7,30230200,2514764931,82.5,83.6,82.3,83.5,1.5,12691
2016/11/8,20390319,1697624018,83.9,84,82.6,83,-0.5,9084
2016/11/9,70378679,5729678499,84,84.2,80.1,80.4,-2.6,34308
2016/11/10,48546840,3970888660,82.4,82.4,81.5,81.5,1.1,20087
2016/11/11,73170894,5806685536,79.5,80.3,79,79,-2.5,36477
2016/11/14,46012334,3636058959,79.5,79.6,78.6,79,0,20965
2016/11/15,34163146,2708207615,78.7,79.8,78.7,79,0,13178
2016/11/16,39144563,3107911377,79.4,79.9,79,79,0,15934
2016/11/17,31889994,2551904153,79.8,80.6,79.3,80.6,1.6,14937
2016/11/18,32171846,2594525626,80.6,81.3,79.8,80.9,0.3,12755
2016/11/21,14358799,1160314919,80.9,81.1,80.5,80.9,0,7583
2016/11/22,29078713,2367240599,81.3,81.7,81,81.2,0.3,16017
2016/11/23,27268505,2235549262,81.8,82.3,81.7,82,0.8,15020
2016/11/24,17929340,1458340357,81.5,81.7,81.1,81.1,-0.9,11030
2016/11/25,16543949,1334411106,80.9,81,80.4,80.5,-0.6,10332
2016/11/28,15494271,1258144173,81.4,81.4,80.7,81.3,0.8,8312
2016/11/29,41901230,3446134717,82,82.8,81.6,82,0.7,17338
2016/11/30,51345862,4215743681,82.2,82.9,81.3,82,0,16890
2016/12/1,26194944,2155266808,82.7,82.7,81.7,82.4,0.4,14033
2016/12/2,29231971,2385451959,81.5,81.9,81.3,81.7,-0.7,13189
2016/12/5,16511600,1345802825,81.6,81.9,81.1,81.3,-0.4,7658
2016/12/6,29762724,2446504411,82.1,82.4,81.9,82.3,1,12312
2016/12/7,38118860,3163814461,83.2,83.4,82.8,83.1,0.8,16552
2016/12/8,83403004,7041036909,84,84.8,83.7,84.8,1.7,37837
2016/12/9,47933555,4075058278,85.5,85.6,84.7,85,0.2,21334
2016/12/12,35560276,2979457373,84.5,84.9,83.3,83.4,-1.6,19752
2016/12/13,36527626,3071478684,84,84.4,83.6,84.4,1,17163
2016/12/14,30200482,2544571895,84.9,85,83.7,83.7,-0.7,14849
2016/12/15,33238409,2788792456,83.5,84.3,83.5,84.2,0.5,14169
2016/12/16,38931821,3265986689,83.9,84.5,83.6,83.6,-0.6,13994
2016/12/19,24351909,2023334586,83.5,83.7,82.8,82.8,-0.8,14366
2016/12/20,23623083,1969722802,83.5,83.8,83,83.7,0.9,11649
2016/12/21,34041300,2849351603,84.1,84.2,83.3,83.3,-0.4,14001
2016/12/22,28033752,2330930616,83.6,83.6,82.7,82.8,-0.5,13691
2016/12/23,21893963,1814343262,82.7,83.5,82.6,82.7,-0.1,11644
2016/12/26,8157737,678008136,82.8,83.3,82.8,83.3,0.6,4365
2016/12/27,8564348,713905378,83.5,83.6,83,83.5,0.2,4707
2016/12/28,18399269,1519137932,83.1,84,83.1,84,0.5,7714
2016/12/29,23802717,1996176571,83.1,84.3,83.1,83.6,-0.4,10445
2016/12/30,21649771,1822757166,84.2,84.4,84,84.2,0.6,9273
2017/1/3,15416016,1294730044,83.7,84.3,83.7,84.3,0.1,8066
2017/1/4,23873107,2015096108,84.3,84.6,84.2,84.2,-0.1,11491
2017/1/5,25436380,2138359820,84.4,84.5,83.8,84,-0.2,10638
2017/1/6,23040962,1935817593,84.5,84.5,83.8,83.8,-0.2,8135
2017/1/9,16896424,1415345372,84.1,84.3,83.5,83.5,-0.3,8054
2017/1/10,15941071,1337490566,83.9,84.1,83.6,84,0.5,6474
2017/1/11,28156161,2363577420,84.4,84.4,83.4,84.2,0.2,12424
2017/1/12,29006144,2443370656,84.2,84.4,83.6,84.3,0.1,12028
